codigo,nombre,apellido,telefono,password,rol_id,curso
2000,Oscar,Miranda,68655487,oscar2000,2,1
2001,Gustavo,Delgado,79003609,gustavo2001,2,1
2002,Silvia,Cardozo,73623205,silvia2002,2,1
2003,Alvaro,Aliaga,69070218,alvaro2003,2,1
2004,Angel,Navarro,73234294,angel2004,2,1
2005,Juan,Choque,76653323,juan2005,2,1
2006,Diego,Aguilar,78197493,diego2006,2,1
2007,Claudia,Calle,65433364,claudia2007,2,1
2008,Eduardo,Cardozo,71453341,eduardo2008,2,1
2009,Paola,Mamani,69608099,paola2009,2,1
2010,Rebeca,Miranda,66997823,rebeca2010,2,1
2011,Gustavo,Aramayo,76145742,gustavo2011,2,1
2012,Lizeth,Rivera,63875457,lizeth2012,2,1
2013,Patricia,Loayza,61756279,patricia2013,2,1
2014,Maria,Camacho,77284467,maria2014,2,1
2015,Ricardo,Arnez,75181549,ricardo2015,2,1
2016,Raul,Arce,72728827,raul2016,2,1
2017,Lilian,Cardozo,69242423,lilian2017,2,1
2018,Lourdes,Ortega,71544805,lourdes2018,2,1
2019,Patty,Castillo,65452959,patty2019,2,1
2020,Freddy,Escobar,64649710,freddy2020,2,1
2021,Claudia,Peñaranda,71521334,claudia2021,2,1
2022,Guido,Alvarez,67087436,guido2022,2,1
2023,Carolina,Condori,79809160,carolina2023,2,1
2024,Erika,Medina,79440396,erika2024,2,1
2025,Elena,Gutierrez,69109664,elena2025,2,1
2026,Silvia,Mamani,63437424,silvia2026,2,1
2027,Ernesto,Castro,62097525,ernesto2027,2,1
2028,Fernando,Marquez,75679512,fernando2028,2,1
2029,Wilma,Vargas,71095414,wilma2029,2,1
2030,Karen,Aguilar,64300340,karen2030,2,1
2031,Elena,Mamani,78461594,elena2031,2,1
2032,Juan,Peñaranda,65779587,juan2032,2,1
2033,Edgar,Calle,69881090,edgar2033,2,1
2034,Sandra,Bautista,75254608,sandra2034,2,1
2035,Carlos,Llanque,73409758,carlos2035,2,1
2036,Maria,Navarro,76444760,maria2036,2,1
2037,Mauricio,Llanque,76193702,mauricio2037,2,1
2038,Juan,Gutierrez,66770950,juan2038,2,1
2039,Silvia,Condori,67287347,silvia2039,2,1
2040,Rebeca,Torrez,65683130,rebeca2040,2,2
2041,Raul,Salazar,77218962,raul2041,2,2
2042,Erika,Aguilar,63709739,erika2042,2,2
2043,Daniel,Delgado,62035548,daniel2043,2,2
2044,Julio,Calle,79139328,julio2044,2,2
2045,Elena,Rivera,62644477,elena2045,2,2
2046,Sandra,Bautista,64819976,sandra2046,2,2
2047,Eduardo,Navarro,68496361,eduardo2047,2,2
2048,Jose,Rivera,65025418,jose2048,2,2
2049,Fernando,Vega,71554946,fernando2049,2,2
2050,Eduardo,Garcia,66436638,eduardo2050,2,2
2051,Carlos,Huanca,67207464,carlos2051,2,2
2052,Eduardo,Cespedes,62235992,eduardo2052,2,2
2053,David,Delgado,74475175,david2053,2,2
2054,Paola,Escobar,77329199,paola2054,2,2
2055,Roberto,Aliaga,67699651,roberto2055,2,2
2056,Natalia,Bautista,69098219,natalia2056,2,2
2057,Claudia,Bautista,75519816,claudia2057,2,2
2058,Eduardo,Limachi,74162145,eduardo2058,2,2
2059,Fernando,Medina,62459700,fernando2059,2,2
2060,Walter,Gutierrez,78124249,walter2060,2,2
2061,Oscar,Vargas,71298387,oscar2061,2,2
2062,Paola,Gutierrez,75238451,paola2062,2,2
2063,Silvia,Salazar,71245798,silvia2063,2,2
2064,Roberto,Cordero,79152561,roberto2064,2,2
2065,Claudia,Cardozo,68789170,claudia2065,2,2
2066,Lilian,Quispe,77652938,lilian2066,2,2
2067,Sandra,Camacho,73155884,sandra2067,2,2
2068,Lizeth,Calle,67683184,lizeth2068,2,2
2069,Juan,Salazar,64146854,juan2069,2,2
2070,Victor,Medina,63964964,victor2070,2,2
2071,Elena,Saavedra,73861019,elena2071,2,2
2072,Edgar,Marquez,61488701,edgar2072,2,2
2073,Veronica,Salazar,73633752,veronica2073,2,2
2074,Natalia,Medina,67922236,natalia2074,2,2
2075,Mauricio,Limachi,79359379,mauricio2075,2,2
2076,Carlos,Solis,74688576,carlos2076,2,2
2077,Luis,Castillo,74688020,luis2077,2,2
2078,Natalia,Vega,78162951,natalia2078,2,2
2079,Milton,Torrez,68633628,milton2079,2,2
2080,Freddy,Solis,72006728,freddy2080,2,3
2081,Sandra,Llanque,62321412,sandra2081,2,3
2082,Patricia,Ayala,74539277,patricia2082,2,3
2083,Jose,Solis,74821080,jose2083,2,3
2084,Angel,Vega,62467068,angel2084,2,3
2085,Walter,Aliaga,61271534,walter2085,2,3
2086,Lizeth,Aramayo,67108987,lizeth2086,2,3
2087,Roberto,Medina,71669137,roberto2087,2,3
2088,Javier,Saavedra,74206104,javier2088,2,3
2089,Elena,Delgado,71622875,elena2089,2,3
2090,Daniel,Alvarez,63770616,daniel2090,2,3
2091,Daniel,Huanca,69474398,daniel2091,2,3
2092,Erika,Franco,66957381,erika2092,2,3
2093,Jose,Aramayo,68787951,jose2093,2,3
2094,Walter,Peñaranda,62016945,walter2094,2,3
