estudiante_codigo,estudiante_nombre,materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,fecha_registro,porcentaje_nota_final,calificacion,anio
2221,Ernesto Solis,Matemáticas,6,3,4,PARTICIPACION 1,"Participación 1 en clase de Matemáticas - Primer Trimestre 2022. Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",2022-04-25,2.1,76.9,2022
2221,Ernesto Solis,Matemáticas,6,3,4,PARTICIPACION 2,"Participación 2 en clase de Matemáticas - Primer Trimestre 2022. Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",2022-02-17,2.5,55.6,2022
2221,Ernesto Solis,Matemáticas,6,3,4,PARTICIPACION 3,"Participación 3 en clase de Matemáticas - Primer Trimestre 2022. Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",2022-04-12,1.8,62.5,2022
2221,Ernesto Solis,Matemáticas,6,3,4,PARTICIPACION 4,"Participación 4 en clase de Matemáticas - Primer Trimestre 2022. Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",2022-03-20,2.8,73.2,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 1,"Participación 1 en clase de Lenguaje - Primer Trimestre 2022. Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",2022-04-13,2.5,61.4,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 2,"Participación 2 en clase de Lenguaje - Primer Trimestre 2022. Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",2022-03-25,2.8,62.9,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 3,"Participación 3 en clase de Lenguaje - Primer Trimestre 2022. Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",2022-04-19,1.0,61.7,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 4,"Participación 4 en clase de Lenguaje - Primer Trimestre 2022. Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",2022-03-15,1.9,73.4,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 5,"Participación 5 en clase de Lenguaje - Primer Trimestre 2022. Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",2022-03-24,1.1,58.8,2022
2221,Ernesto Solis,Lenguaje,6,3,4,PARTICIPACION 6,"Participación 6 en clase de Lenguaje - Primer Trimestre 2022. Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",2022-04-19,2.4,70.1,2022
