codigo,nombre,apellido,telefono,password,rol_id
3000,Juan,Pérez,76512345,prof3000,3
3001,María,Gómez,76498765,prof3001,3
3002,Carlos,Flores,76311223,prof3002,3
3003,Patricia,Choque,76765432,prof3003,3
3004,Luis,López,76654321,prof3004,3
3005,Sandra,Huanca,76823456,prof3005,3
3006,Oscar,Castro,76987654,prof3006,3
3007,Elena,Camacho,76543212,prof3007,3
3008,David,Bautista,76432123,prof3008,3
3009,Carla,Aliaga,76912345,prof3009,3
3010,Fernando,Rojas,76678901,prof3010,3
3011,Paola,Solis,76324567,prof3011,3
3012,Ricardo,Aramayo,76567890,prof3012,3
3013,Erika,Limachi,76456789,prof3013,3
3014,Victor,Cardozo,76876543,prof3014,3
3015,Yesica,Navarro,76923456,prof3015,3
3016,Freddy,Franco,76543210,prof3016,3
3017,Julio,Garcia,76612345,prof3017,3
3018,Veronica,Medina,76345678,prof3018,3
3019,Raul,Arnez,76789012,prof3019,3
3020,Lizeth,Marquez,76890123,prof3020,3
3021,Edgar,Torrez,76901234,prof3021,3
3022,Natalia,Vargas,76532123,prof3022,3
3023,Diego,Quispe,76421098,prof3023,3
3024,Lucia,Aguilar,76389765,prof3024,3
3025,Samuel,Mamani,76876521,prof3025,3
3026,Daniela,Rivera,76890112,prof3026,3
3027,Hugo,Zeballos,76411223,prof3027,3
3028,Juana,Pinto,76765401,prof3028,3
3029,Marcos,Salinas,76932145,prof3029,3
3030,Florencia,Villarroel,76567812,prof3030,3
3031,Martin,Salvatierra,76348901,prof3031,3
3032,Andrea,Paz,76356789,prof3032,3
3033,Miguel,Soto,76890145,prof3033,3
3034,Martha,Ruiz,76987876,prof3034,3
3035,Pablo,Rojas,76876590,prof3035,3
3036,Carmen,Blanco,76432111,prof3036,3
3037,Jorge,Ortega,76321234,prof3037,3
3038,Claudia,Alvarez,76543222,prof3038,3
3039,Rosa,Castro,76432199,prof3039,3
3040,Gabriel,Rivera,76567898,prof3040,3
3041,Viviana,García,76912321,prof3041,3
3042,Marvin,Fernández,76854321,prof3042,3
3043,Teresa,Mendoza,76567877,prof3043,3
3044,Javier,Aguirre,76456777,prof3044,3
3045,Nora,Villca,76988888,prof3045,3
3046,Esteban,Mamani,76312345,prof3046,3
3047,Gloria,Paredes,76876522,prof3047,3
3048,Rodrigo,Molina,76543256,prof3048,3
3049,Valeria,Gutierrez,76345612,prof3049,3
3050,Mauricio,Cordero,76943210,prof3050,3
3051,Angela,Salinas,76432155,prof3051,3
3052,Sergio,Guzmán,76378901,prof3052,3
3053,Lorena,Díaz,76765499,prof3053,3
3054,Cristian,Vargas,76890178,prof3054,3
3055,Tania,Sánchez,76567856,prof3055,3
3056,Eduardo,Villalobos,76921234,prof3056,3
3057,Silvia,Valdez,76345689,prof3057,3
3058,Oscar,Rojas,76987612,prof3058,3
3059,Melisa,García,76543288,prof3059,3
3060,Dario,Tejerina,76876533,prof3060,3
3061,Alicia,Salguero,76432177,prof3061,3
3062,Hernán,Montes,76980012,prof3062,3
3063,Monica,Villar,76543266,prof3063,3
3064,Francisco,Soria,76343210,prof3064,3
3065,Cecilia,Ferrufino,76890987,prof3065,3
3066,Felipe,Gutiérrez,76432122,prof3066,3
3067,Susana,Palacios,76543244,prof3067,3
3068,Roberto,Gómez,76976543,prof3068,3
3069,Anabel,Paredes,76812345,prof3069,3
3070,Ivan,Llanos,76342098,prof3070,3
3071,Salvador,Cardenas,76432133,prof3071,3
3072,Dina,Ramos,76567865,prof3072,3
3073,Joaquin,Flores,76876511,prof3073,3
3074,Nelly,Vega,76987654,prof3074,3
3075,Bernardo,Arze,76321212,prof3075,3
3076,Michelle,Caballero,76543299,prof3076,3
3077,Guido,Villca,76432188,prof3077,3
3078,Melanie,Arnez,76987632,prof3078,3
3079,Ramiro,Gutiérrez,76345677,prof3079,3
3080,Paula,Vargas,76543223,prof3080,3
3081,Alex,Montenegro,76876567,prof3081,3
3082,Beatriz,Delgado,76432166,prof3082,3
3083,Elias,Gutiérrez,76987611,prof3083,3
3084,Zulema,Flores,76432144,prof3084,3
3085,Cristina,Mamani,76567833,prof3085,3
3086,Jonathan,Ramos,76876555,prof3086,3
3087,Miriam,Calle,76987629,prof3087,3
3088,Rodolfo,Choque,76432111,prof3088,3
3089,Jessica,Castillo,76543234,prof3089,3
3090,Renato,Soria,76345611,prof3090,3
3091,Gabriela,Ortiz,76987677,prof3091,3
3092,Santiago,Herrera,76876588,prof3092,3
3093,Berta,Colque,76345622,prof3093,3
3094,Lidia,Salazar,76543219,prof3094,3
3095,Raul,Flores,76876543,prof3095,3
3096,Jimena,Vargas,76432133,prof3096,3
3097,Cristobal,Ortiz,76567828,prof3097,3
3098,Denise,Flores,76345633,prof3098,3
3099,Guillermo,Quintana,76543277,prof3099,3
3100,Pamela,Mamani,76987694,prof3100,3
3101,Bruno,Salinas,76567899,prof3101,3
